Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
DevOps Engineer,DevOps,remote,mid,CloudFerro S.A.,Kraków,16000-24000,16000-24000,"""Linux"" ""Git"" ""Terraform"" ""Prometheus"" ""Kubernetes""",,/offers/cloudferro-s-a-devops-engineer
Senior Scala Developer,Scala,remote,senior,Ciklum,Gdańsk,,23213-29018,"""Scala"" ""Java""",,/offers/ciklum-senior-scala-developer-gdansk
Lead Full Stack .NET Developer,Net,hybrid,senior,Avanade Poland,Warszawa,17000-23000,,"""ASP.NET"" ""Azure Services"" ""JavaScript"" ""TypeScript"" ""React"" ""Angular"" ""DevOps""","""CRM""",/offers/avanade-poland-lead-full-stack-net-developer
Inżynier ds. sieci komputerowych,Admin,hybrid,mid,INNERGO Systems Sp. z o.o.,Warszawa,None-None,,"""LAN"" ""WAN"" ""TCP/IP"" ""Problem Solving""",,/offers/innergo-systems-sp-z-o-o-inzynier-ds-sieci-komputerowych
Middle/Senior PHP Engineer,PHP,remote,mid,MEV,Warszawa,,12082-20136,"""PHP"" ""CodeIgniter"" ""Slim"" ""AWS""","""JavaScript""",/offers/mev-middle-senior-php-engineer-warszawa
HT Functional Consultant with ERP Industry Solutions all levels,ERP,remote,mid,Accenture,Kraków,None-None,,"""English"" ""ERP"" ""Problem Solving"" ""Communication Skills"" ""Analytical Thinking""",,/offers/accenture-ht-functional-consultant
IT Security System Engineer,Security,hybrid,mid,Barry Callebaut SSC Europe,Łódź,None-None,,"""Salesforce"" ""Google Cloud"" ""SAP"" ""Microsoft Azure Cloud"" ""SaaS"" ""TCP/IP"" ""LAN""","""Cisco"" ""SIEM""",/offers/barry-callebaut-ssc-europe-it-security-system-engineer
SAP HCM Consultant,ERP,hybrid,mid,Fujitsu Technology Solutions,Wrocław,18000-25000,16800-33600,"""SAP"" ""German"" ""English""","""Flori Apps""",/offers/fujitsu-technology-solutions-sap-hcm-consultant
Mid/Senior Test Automation Developer,Net,office,senior,Omada Poland,Warszawa,18000-20000,,"""C#"" "".Net"" ""Selenium WebDriver""","""XUnit"" ""Microsoft SQL Server"" ""NUnit"" ""MSTest"" ""Azure DevOps""",/offers/omada-poland-mid-senior-test-automation-developer-warszawa-325645
System & Application Security Specialist,Security,remote,mid,Rentals United,Warszawa,,None-None,"""IT Security"" ""Cybersecurity"" ""Information Security"" ""GDPR"" ""SOC 2"" ""PCI SSC"" ""Amazon AWS"" ""ISO security standards""","""penetration testing"" ""Vanta""",/offers/rentals-united-system-application-security-specialist-warszawa-325166
EDS Experience Analyst,PM,hybrid,junior,Takeda,Łódź,None-None,,"""Enterprise Data Services"" ""Insights & Analytics"" ""Power BI"" ""Lean Six Sigma"" ""Design for Six Sigma"" ""Change Management"" ""Process & Data Modeling"" ""Communication Skills""",,/offers/takeda-eds-experience-analyst-lodz-321738
EDI Developer,Admin,hybrid,senior,DSV ISS,Warszawa,None-None,,"""EDI"" ""Java"" ""C++"" ""C#"" ""SQL"" ""XML"" ""JSON"" ""XPath"" ""CSV""",,/offers/dsv-iss-edi-developer-warszawa-326186
Senior DevOps Engineer,DevOps,hybrid,senior,Procter & Gamble,Warsaw,None-None,,"""Azure DevOps"" ""Microsoft Azure Cloud"" ""Kubernetes"" ""CI/CD"" ""Docker"" ""Agile""",,/offers/procter-gamble-senior-devops-engineer
Infrastructure Project Manager,PM,hybrid,senior,Connectis,Rijad,,24164-32219,"""MS Project"" ""EPM"" ""CLM"" ""Clarity"" ""JIRA""",,/offers/connectis-project-manager-rijad
Consultant S/4HANA Cloud,ERP,hybrid,mid,PwC Polska,Wrocław,9000-12000,,"""SAP""","""S/4HANA"" ""SAP Cloud"" ""German""",/offers/pwc-polska-consultant-s-4hana-cloud-wroclaw
Android Engineer,Mobile,hybrid,senior,Backbase,Kraków,15000-23500,,"""Kotlin"" ""Android Studio"" ""(MVVM""",,/offers/backbase-senior-android-engineer-krakow
Data Support Specialist with Danish,Support,office,junior,IRKL Sp. z o.o.,Gdańsk,None-None,,,"""Danish""",/offers/irkl-sp-z-o-o-data-support-specialist-with-danish
Senior Ruby on Rails Software Engineer,Ruby,remote,senior,Constant Contact,Kraków,,18123-26177,"""Ruby on Rails"" ""AWS"" ""RSpec"" ""SQL"" ""RESTful API"" ""Docker""",,/offers/constant-contact-senior-ruby-on-rails-software-engineer
Młodszy Administrator Systemów IT,Admin,hybrid,mid,Aflofarm Farmacja Polska,Łódź,None-None,None-None,"""Microsoft Windows Server"" ""Hyper-V"" ""Active Directory"" ""HA""","""MS SQL Server"" ""LAN"" ""WAN"" ""TCP/IP"" ""Powershell""",/offers/aflofarm-farmacja-polska-mlodszy-administrator-systemow-it-lodz-324538
Software Engineer (Scala),Scala,hybrid,senior,Roqad,Poznań,,17789-28636,"""Scala"" ""REST"" ""HTTP protocol"" ""Rust""",,/offers/roqad-software-engineer-scala
Software Development Engineer III (Java),Java,hybrid,senior,Tesco Technology,Kraków,22000-30000,26000-36000,"""Java"" ""Microservice Architecture"" ""SQL"" ""Testing"" ""Spring Boot"" ""Docker"" ""Kubernetes"" ""CI/CD""","""Kafka"" ""Azure""",/offers/tesco-technology-software-development-engineer-iii-java-krakow-302795
Erlang Developer / Senior Erlang Developer,Other,remote,mid,Erlang Solutions,Kraków,16000-25000,18000-28000,"""erlang"" ""XMPP"" ""Git"" ""Linux"" ""DevOps"" ""PostgreSQL"" ""Docker""","""EjabberD"" ""Elixir"" ""Kubernetes""",/offers/erlang-solutions-erlang-developer-senior-erlang-developer
IT Security Engineer,Security,remote,mid,MindPal,Gliwice,,20000-25000,"""CISM"" ""CISP"" ""CEH""",,/offers/mindpal-it-security-engineer
Atlassian Services Consultant,Other,remote,senior,Experis Manpower Group,Warszawa,,23520-28560,"""JIRA"" ""Groovy"" ""English"" ""Big Gantt"" ""Structure"" ""Insight Assets"" ""German""",,/offers/experis-manpower-group-atlassian-services-consultant
Business Analyst (m/f),Analytics,office,mid,Fiserv Polska,Warszawa,None-None,,"""Agile"" ""systems analyst"" ""business analyst""",,/offers/fiserv-polska-business-analyst-m-f
Praktykant/Junior Test Automation Developer (DevOps),DevOps,remote,junior,Accenture,Kraków,,,"""English""","""XML"" ""JSON"" ""webservices REST"" ""Page Object Pattern"" ""JIRA"" ""Confluence"" ""Java"" ""SQL"" ""programming basics""",/offers/accenture-praktykant-junior-test-automation-developer-devops-krakow
Administrator aplikacji,Admin,hybrid,mid,Nationale Nederlanden,Warszawa,None-None,,"""Tomcat"" ""JVM"" ""Windows"" ""Linux"" ""TCP/IP"" ""ELK Stack""",,/offers/nationale-nederlanden-administrator-aplikacji-warszawa-329796
