Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
DevOps Azure Engineer,DevOps,remote,senior,Reply Polska Sp. z o. o.,Katowice,13000-22000,,"""Azure Services"" ""DevOps tools"" ""Linux/Windows"" ""Scripting""",,/offers/reply-polska-sp-z-o-o-devops-azure-engineer-katowice
Analityk IT,Analytics,hybrid,mid,Link Group,Warszawa,,18480-23520,"""JIRA"" ""Agile"" ""UML"" ""BPMN"" ""Enterprise Architect"" ""SQL""",,/offers/link-group-analityk-it
Senior Java Software Engineer - Consumer Teams,Java,remote,senior,InPost,Warszawa,None-None,None-None,"""Java"" ""Spring Boot"" ""Microservices"" ""Kafka""","""GCP""",/offers/inpost-senior-java-software-engineer-consumer-teams
Junior WEBCON Developer,Other,remote,junior,DALETO,Częstochowa,5000-6000,6000-6000,,"""WebCon BPS"" ""T-SQL"" ""JavaScript"" ""BPMN"" ""Język Angielski"" ""Microsoft"" ""RPA"" ""Agile""",/offers/daleto-junior-webcon-developer
Fullstack Developer .NET & Angular,Net,remote,mid,Directio,Wrocław,16500-20000,21500-28500,""".Net"" ""Azure"" ""MS SQL"" ""Angular""",,/offers/directio-fullstack-developer-net-angular-wroclaw
IT Service Manager (Input Management),Admin,hybrid,mid,ERGO Technology & Services,Gdańsk,None-None,,"""Document processing"" ""German"" ""Database administration"" ""MS SQL Server"" ""Windows OS"" ""Powershell"" ""Service Management"" ""ITIL""","""Azure DevOps"" ""Opentext Intelligent Cap.""",/offers/ergo-technology-services-it-service-manager-input-management
Totalny wymiatacz ds. technologii online i najróżniejszych aplikacji,Support,remote,mid,Szkoła w Chmurze,Kraków,,7000-12000,"""API"" ""TypeForm"" ""Low-code"" ""no-code"" ""WordPress"" ""Zapier""",,/offers/szkola-w-chmurze-totalny-wymiatacz-ds-technologii-online-i-najrozniejszych-aplikacji
Specjalista ds. IT - Systemy Logistyczne,Admin,office,mid,ORLEN S.A.,Warszawa,None-None,,"""SQL"" ""Bazy Danych"" ""LAN""","""WMS""",/offers/orlen-s-a-specjalista-ds-it-systemy-logistyczne
IT Administrator,Data,office,mid,Elektro Med,Niepołomice,None-None,,"""SQL"" ""MS Office"" ""analiza"" ""CRM"" ""priorytetyzacja"" ""Dobra organizacja pracy"" ""Angielski"" ""Prawo jazdy"" ""data analyst"" ""Multitasking""",,/offers/elektro-med-it-administrator-niepolomice
Power Platform / RPA Developer,Analytics,remote,mid,Islandsbanki,Warszawa,,17000-23000,"""Blue Prism"" ""Power Platform"" ""Power Automate"" ""SharePoint""","""Microsoft Azure"" ""Power BI""",/offers/islandsbanki-power-platforms-rpa-developer-warszawa-323819
