Title,Category,Technology,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
SailPoint Developer,Backend,Java,Mid,Sii Polska,Remote,14000  – 18000  PLN,21000  – 29400  PLN,"""Java"" ""SailPoint"" ""Databases"" ""ServiceNow"" ""Angielski"" ""Polski"" ",,https://nofluffjobs.com/pl/job/sailpoint-developer-sii-polska-remote
"System Administrator/Devops, Wrocław",DevOps,,Senior,Object First,Wrocław,17221  – 23115  PLN,,"""SQL"" ""NoSQL"" ""Windows"" ""Linux"" ""Virtualization"" ""VMware"" ""Hyper-V"" ""Cisco"" ""Angielski"" ","""DevOps"" ""Degree"" ""AWS"" ""Azure"" ""GCP"" ""Microservices"" ""Docker"" ""AWS Lambda"" ""PowerShell"" ""Bash"" ""Kubernetes"" ""Ansible"" ""Puppet"" ""ITIL"" ",https://nofluffjobs.com/pl/job/system-administrator-devops-wroclaw-object-first-wroclaw
Agile Test Engineer - Games Development,Game dev,.NET,Mid,Zone IT Sp. z o.o.,Wrocław,10000  – 18000  PLN,8000  – 16000  PLN,"""Selenium"" ""Python"" ""REST"" "".NET"" ""Polski"" ""Angielski"" ","""SQL"" ""Jenkins"" ""Docker"" ""Git"" ",https://nofluffjobs.com/pl/job/agile-test-engineer-games-development-zone-it-wroclaw
Test Engineer - AI,AI,Python,Mid,Zone IT Sp. z o.o.,Wrocław,12000  – 19000  PLN,12000  – 21000  PLN,"""Python"" ""Test automation"" ""Polski"" ""Angielski"" ","""Selenium"" ""Test-driven development"" ""TestCase Lab"" ",https://nofluffjobs.com/pl/job/test-engineer-ai-zone-it-wroclaw-1
React Developer Gaming Solutions,Game dev,,Mid,Zone IT Sp. z o.o.,Wrocław,12000  – 18000  PLN,12000  – 20000  PLN,"""React"" ""JavaScript"" ""Next.js"" ""HTML"" ""CSS"" ""Polski"" ""Angielski"" ","""React native"" ""TypeScript"" ""Node.js"" ",https://nofluffjobs.com/pl/job/react-developer-gaming-solutions-zone-it-wroclaw-1
JavaScript Developer - Gaming Solutions,Game dev,,Mid,Zone IT Sp. z o.o.,Wrocław,12000  – 15000  PLN,12000  – 16000  PLN,"""JavaScript"" ""CSS"" ""HTML"" ""Polski"" ""Angielski"" ","""REST API"" ""Linux"" ""React"" ""C#"" ""C"" ""C++"" ",https://nofluffjobs.com/pl/job/javascript-developer-gaming-solutions-zone-it-wroclaw-1
Data Engineer,AI,Scala,Mid,Develocraft,Remote,17000  – 22000  PLN,,"""Python"" ""AWS"" ""Spark"" ""Scala"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/data-engineer-develocraft-remote
Tester ( Pentester ) - Gaming Development,Game dev,Ruby on Rails,Mid,Zone IT Sp. z o.o.,Wrocław,10000  – 18000  PLN,8000  – 16000  PLN,"""Selenium"" ""Python"" ""REST"" ""Ruby on Rails"" ""Polski"" ""Angielski"" ","""SQL"" ""Jenkins"" ""Docker"" ""Git"" ",https://nofluffjobs.com/pl/job/tester-pentester-gaming-development-zone-it-wroclaw
Tester (Pentester) - AI,AI,Python,Mid,Zone IT Sp. z o.o.,Wrocław,10000  – 18000  PLN,8000  – 16000  PLN,"""Selenium"" ""Python"" ""REST"" ""Polski"" ""Angielski"" ","""SQL"" ""Jenkins"" ""Docker"" ""Git"" ",https://nofluffjobs.com/pl/job/tester-pentester-ai-zone-it-wroclaw
Oracle Specialist - AI,AI,Oracle,Mid,Zone IT Sp. z o.o.,Wrocław,17000  – 25000  PLN,19000  – 28000  PLN,"""Oracle DB"" ""Oracle"" ""Storage"" ""Polski"" ""Angielski"" ","""MS Dynamics"" ""SQL"" ""ERP"" ""HANA"" ""Java"" ""ABAP"" ""PL/SQL"" ""React"" ""Python"" ",https://nofluffjobs.com/pl/job/oracle-specialist-ai-zone-it-wroclaw
Senior Data Engineer,AI,Python,Senior,Develocraft,Remote,18000  – 22000  PLN,23000  – 28500  PLN,"""Python"" ""AWS"" ""Spark"" ""SQL"" ""Angielski (B2)"" ",,https://nofluffjobs.com/pl/job/senior-data-engineer-develocraft-remote
Python Developer - AI,AI,Python,Mid,Zone IT Sp. z o.o.,Wrocław,16000  – 25000  PLN,17000  – 28000  PLN,"""Python"" ""MATLAB"" ""AI"" ""Polski"" ""Angielski"" ","""MongoDB"" ""Django"" ""Cloud"" ""Java"" ""Angular"" ",https://nofluffjobs.com/pl/job/python-developer-ai-zone-it-wroclaw-2
Senior Cloud Engineer with Python,DevOps,Python,Senior,Digital Hub Warsaw at Bayer,Warsaw,18000  – 26000  PLN,,"""Python"" ""AWS Cloud"" ""Terraform"" ""Docker"" ""Kubernetes"" ""Angielski"" ","""Workflow Engines"" ""Argo Workflows"" ""Airflow"" ",https://nofluffjobs.com/pl/job/senior-cloud-engineer-with-python-digital-hub-warsaw-at-bayer-warsaw
Scrum Master for part time,Agile,,Senior,Ework Group,Remote,,33600  – 43680  PLN,"""Azure DevOps"" ""SAP ECC"" ""Project management"" ""SAP"" ""Angielski (C1)"" ",,https://nofluffjobs.com/pl/job/scrum-master-for-part-time-ework-group-remote
Remote Web Designer (UI/Junior/Regular),Frontend,,Junior,adRespect,Remote,,4000  – 4500  PLN,"""Figma"" ""Polski"" ","""Figma Tokens"" ""Scrum"" ""Asana"" ""Clickup"" ",https://nofluffjobs.com/pl/job/remote-web-designer-ui-junior-regular-adrespect
